Control,Estilo,Talla,Tpo,Color,Nom Color,Codigo 1,Codigo 2
19151001,9527P,25,0,1,GREZLY CAFE,*09527P0010025*,09527P0010025
19151001,9527P,26,0,1,GREZLY CAFE,*09527P0010026*,09527P0010026
19151001,9527P,26,0,1,GREZLY CAFE,*09527P0010026*,09527P0010026
19151001,9527P,26,0,1,GREZLY CAFE,*09527P0010026*,09527P0010026
19151001,9527P,26,0,1,GREZLY CAFE,*09527P0010026*,09527P0010026
19151001,9527P,26.5,0,1,GREZLY CAFE,*09527P00126.5*,09527P00126.5
19151001,9527P,27,0,1,GREZLY CAFE,*09527P0010027*,09527P0010027
19151001,9527P,27,0,1,GREZLY CAFE,*09527P0010027*,09527P0010027
19151001,9527P,27,0,1,GREZLY CAFE,*09527P0010027*,09527P0010027
19151001,9527P,27,0,1,GREZLY CAFE,*09527P0010027*,09527P0010027
19151001,9527P,27,0,1,GREZLY CAFE,*09527P0010027*,09527P0010027
19151001,9527P,27,0,1,GREZLY CAFE,*09527P0010027*,09527P0010027
19151001,9527P,27,0,1,GREZLY CAFE,*09527P0010027*,09527P0010027
19151001,9527P,27,0,1,GREZLY CAFE,*09527P0010027*,09527P0010027
19151001,9527P,27.5,0,1,GREZLY CAFE,*09527P00127.5*,09527P00127.5
19151001,9527P,27.5,0,1,GREZLY CAFE,*09527P00127.5*,09527P00127.5
19151001,9527P,27.5,0,1,GREZLY CAFE,*09527P00127.5*,09527P00127.5
19151001,9527P,28,0,1,GREZLY CAFE,*09527P0010028*,09527P0010028
19151001,9527P,28,0,1,GREZLY CAFE,*09527P0010028*,09527P0010028
19151001,9527P,28,0,1,GREZLY CAFE,*09527P0010028*,09527P0010028
19151001,9527P,28,0,1,GREZLY CAFE,*09527P0010028*,09527P0010028
19151001,9527P,28,0,1,GREZLY CAFE,*09527P0010028*,09527P0010028
19151001,9527P,28,0,1,GREZLY CAFE,*09527P0010028*,09527P0010028
19151001,9527P,28.5,0,1,GREZLY CAFE,*09527P00128.5*,09527P00128.5
19151001,9527P,28.5,0,1,GREZLY CAFE,*09527P00128.5*,09527P00128.5
19151001,9527P,29,0,1,GREZLY CAFE,*09527P0010029*,09527P0010029
19151001,9527P,29,0,1,GREZLY CAFE,*09527P0010029*,09527P0010029
19151001,9527P,29,0,1,GREZLY CAFE,*09527P0010029*,09527P0010029
19151001,9527P,29.5,0,1,GREZLY CAFE,*09527P00129.5*,09527P00129.5
19151001,9527P,29.5,0,1,GREZLY CAFE,*09527P00129.5*,09527P00129.5
